City,State,Size,Resource Demanded,Connects To,Region,Amount Demanded
Charlottetown,PE,3,Steel,"Edmundston, St. John's",Canada East,150
St. John's,NL,4,Copper,"Charlottetown, Halifax",Canada East,350
Halifax,NS,3,Oil,"St. John's, Augusta, Fredericton",Canada East,150
Fredericton,NB,2,Chicken,"Halifax, Sherbrooke",Canada East,50
Sherbrooke,QC,2,Lemon,"Fredericton, Augusta, Kingston",Canada East,50
Kingston,ON,3,BBQ Rib,"Sherbrooke, Albany, Toronto",Canada East,150
London,ON,3,Pizza,"Detroit, Toronto",Canada East,150
Toronto,ON,5,Micro Processor,"London, Winnipeg, Ottawa, Kingston",Canada East,1000
Ottawa,ON,4,Parka,"Toronto, Montreal, Montpelier",Canada East,350
Montreal,QC,5,Firework,"Ottawa, Edmundston",Canada East,1000
Edmundston,NB,1,Wheat,"Montreal, Charlottetown",Canada East,25
Galway,IE,1,Strawberry,"Belfast, Dublin",Europe West,25
Belfast,UK,2,Carrot,"Galway, Edinburgh",Europe West,50
Edinburgh,UK,3,Sheep,"Belfast, London",Europe West,150
London,UK,5,Tea,"Amsterdam, Edinburgh",Europe West,1000
Amsterdam,NL,4,Tea,"Brussels, Berlin, London",Europe West,350
Brussels,BE,3,Chicken,"Luxembourgh City, Amsterdam",Europe West,150
Luxembourg City,LU,2,Pasta,"Vaduz, Brussels, Prague,Europe West Factory",Europe West,50
Vaduz,LT,1,Tea,"Zurich, Luxembourg City",Europe West,25
Zurich,CH,3,Hockey Stick,"Bern, Vaduz",Europe West,150
Bern,CH,4,Sheep,"Paris, Zurich",Europe West,350
Paris,FR,5,Tulip,"Nantes, Bern, Europe West Factory",Europe West,1000
Nantes,FR,3,Sausage,"Southampton, Paris, Bilbao",Europe West,150
Southampton,UK,2,Tea,"Cardiff, Nantes",Europe West,50
Cardiff,UK,3,Pasta,"Galway, Southampton",Europe West,150
Dublin,IE,4,Sausage,"Galway, Cardiff",Europe West,350
Andorra La Vella,AD,4,Tulip,"Milan, Bilbao",Europe South,350
Bilbao,ES,2,Casino Chip,"Nantes, Porto, Andorra La Vella",Europe South,50
Porto,PT,3,Meatball,"Bilbao, Lisbon",Europe South,150
Lisbon,PT,2,Sausage,"Porto, Madrid",Europe South,50
Madrid,ES,4,Casino Chip,"Lisbon, Barcelona",Europe South,350
Barcelona,ES,5,Candle,"Madrid, Monaco",Europe South,1000
Monaco,FR,5,Casino Chip,"Barcelona, Rome",Europe South,1000
Rome,IT,1,Holy Water,"Monaco, Naples, Europe South Factory",Europe South,25
Naples,IT,2,Pasta,"Rome, Valleta",Europe South,50
Valleta,MT,3,Bonbon,"Naples, Tirana",Europe South,150
Tirana,AL,2,Candle,"Valleta, Athens, , Europe South Factory",Europe South,50
Athens,GR,4,Meatball,"Tirana, Skopje",Europe South,350
Skopje,MK,1,Casino Chip,"Athens, Sarajevo, Sofia",Europe South,25
Sarajevo,HB,2,Tulip,"Skopje, Zagreb, Europe South Factory",Europe South,50
Zagreb,HR,3,Onion,"Sarajevo, Ljubljana",Europe South,150
Ljubljana,SK,2,Sheep,"Zagreb, Vienna, San Marino",Europe South,50
San Marino,IT,3,Water,"Ljubljana, Milan",Europe South,150
Milan,IT,5,Strawberry,"San Marino, Vaduz, Andorra La Vella",Europe South,1000
Prague,CZ,4,Onion,"Ostrava, Vienna, Luxembourgh City",Europe East,350
Vienna,AT,3,Bonbon,"Prague, Ljubljana",Europe East,150
Timisoara,RO,2,Meatball,"Sofia, Vienna, Europe West Factory",Europe East,50
Sofia,BG,1,Sheep,"Skopje, Bucharest, Timisoara",Europe East,25
Bucharest,RO,2,Water,"Sofia, Chisinau, Europe West Factory",Europe East,50
Chisinau,MD,1,Onion,"Bucharest, Cluj-Napoca",Europe East,25
Cluj-Napoca,RO,2,Holy Water,"Chisinau, Budapest, Europe West Factory",Europe East,50
Budapest,HU,3,Cow,"Cluj-Napoca, Bratislava",Europe East,150
Bratislava,SK,2,Onion,"Budapest, Ostrava",Europe East,50
Ostrava,CZ,1,Sausage,"Bratislava, Prague, Warsaw",Europe East,25
Berlin,DE,5,Parka,"Copenhagen, Warsaw, Amsterdam",Europe North,1000
Warsaw,PL,3,Tulip,"Berlin, Kiev, Ostrava",Europe North,150
Kiev,UA,1,Bonbon,"Chisinau, Minsk, Warsaw",Europe North,25
Minsk,BY,1,Utility Knife,"Kiev, Vilnius",Europe North,25
Vilnius,LT,2,Utility Knife,"Minsk, Riga",Europe North,50
Riga,LV,1,Honey,"Vilnius, Tallinn, Europe North Factory",Europe North,25
Tallinn,EE,1,Holy Water,"Helsinki, Riga",Europe North,25
Helsinki,FI,2,Candle,"Tallinn, Stockholm",Europe North,50
Stockholm,SE,3,Utility Knife,"Helsinki, Oslo, Europe North Factory",Europe North,150
Oslo,NO,4,Utility Knife,"Stockholm, Copenhagen",Europe North,350
Copenhagen,DK,5,Candle,"Oslo, Berlin, Europe North Factory",Europe North,1000
Cabo San Lucas,MX,3,Tulip,La Paz,Mexico,150
La Paz,MX,4,Peanut,"Cabo San Lucas, Rosarito",Mexico,350
Rosarito,MX,1,Apple,"La Paz, Tijuana",Mexico,25
Tijuana,MX,5,Coffee Beans,"Los Angeles,, Rosarito, Mexicali",Mexico,1000
Mexicali,MX,3,Banana,"Tijuana, Ciudad Juarez, Hermosillo",Mexico,150
Hermosillo,MX,4,Copper,"Mexicali, Ciudad Obregon",Mexico,350
Ciudad Obregon,MX,3,Poutine,"Hermosillo, Chihuahua, Los Mochis",Mexico,150
Los Mochis,MX,2,Banana,"Ciudad Obregon, Guasave",Mexico,50
Guasave,MX,1,Peanut,"Los Mochis, Culiacan",Mexico,25
Culiacan,MX,4,Iron,"Guasave, Mazatlan",Mexico,350
Mazatlan,MX,4,Steel,"Culiacan, Tepic",Mexico,350
Tepic,MX,4,BBQ Rib,"Mazatlan, Colima, San Luis Potosi, Durango",Mexico,350
Durango,MX,5,Onion,"Tepic, Saltillo",Mexico,1000
Saltillo,MX,4,Tomato,"Durango, Monterrey, Monclova",Mexico,350
Monclova,MX,3,Cow,"Saltillo, Chihuahua",Mexico,150
Chihuahua,MX,5,Salmon,"Monclova, Ciudad Obregon, Ciudad Juarez",Mexico,1000
Ciudad Juarez,MX,5,Poutine,"Mexicali, El Paso, Chihuahua",Mexico,1000
Monterrey,MX,5,Chicken,"Saltillo, Ciudad Victoria",Mexico,1000
Ciudad Victoria,MX,3,Copper,"Monterrey, San Luis Potosi, Xalapa",Mexico,150
San Luis Potosi,MX,1,Peanut,"Tepic, Ciudad Victoria, Guadalajara",Mexico,25
Guadalajara,MX,2,Banana,"San Luis Potosi, Morelia",Mexico,50
Colima,MX,3,Micro Processor,"Tepic, Morelia, Acapulco",Mexico,150
Morelia,MX,4,Apple,"Guadalajara, Colima, Mexico City",Mexico,350
Xalapa,MX,3,Carrot,"Ciudad Victoria, Mexico City",Mexico,150
Mexico City,MX,5,Coffee Beans,"Xalapa, Morelia, Taxco, Villahermosa",Mexico,1000
Taxco,MX,1,Candle,"Mexico City, Oaxaca",Mexico,25
Oaxaca,MX,5,Sheep,"Taxco, Acapulco, Tuxtla Gutierrez",Mexico,1000
Acapulco,MX,4,Paper,"Colima, Oaxaca",Mexico,350
Tuxtla Gutierrez,MX,4,Hockey Stick,"Oaxaca, Chetumal",Mexico,350
Chetumal,MX,2,Holy Water,"Tuxtla Gutierrez, Cancun",Mexico,50
Cancun,MX,5,Pasta,"Chetumal, Merida",Mexico,1000
Merida,MX,4,Coffee Beans,"Cancun, Campeche",Mexico,350
Campeche,MX,4,Meatball,"Merida, Villahermosa",Mexico,350
Villahermosa,MX,3,Coffee Beans,"Campeche, Mexico City",Mexico,150
The Bahamas,,5,Peanut,Miami,Caribbean,1000
Havana,CU,3,Steel,"Miami, Santa Clara",Caribbean,150
Santa Clara,CU,4,Strawberry,"Havana, Camaguey",Caribbean,350
Camaguey,CU,2,Tomato,"Santa Clara, Santiago de Cuba",Caribbean,50
Santiago de Cuba,CU,3,Water,"Camaguey, Moontogo Bay,Port-de-Paix",Caribbean,150
Montego Bay,JM,2,Micro Processor,"Kingston, Santiago de Cuba",Caribbean,50
Kingston,JM,4,Firework,"Port-au-Prince, Montego Bay",Caribbean,350
Port-au-Prince,HT,2,Wheat,"Santo Domingo, Port-de-Paix,Kingston, Caribbean Factory",Caribbean,50
Santo Domingo,CD,1,Honey,"Santiago De Los Caballeros,Port-au-Prince",Caribbean,25
Punta Cana,CD,2,Poutine,"Santiago De Los Caballeros,Ponce, San Juan",Caribbean,50
Ponce,PR,3,Banana,"San Juan, Punta Cana",Caribbean,150
San Juan,PR,4,BBQ Rib,"Ponce, Punta Cana",Caribbean,350
Santigo de Los Caballeros,CD,2,Candle,"Port-de-Paix, Santo Domingo,Punta Cana",Caribbean,50
Port-de-Paix,HT,3,Wood,"Santiago de Cuba, Port-au-Prince,Santiago De Los Caballeros,
Caribbean Factory",Caribbean,150
Belmopan,BZ,1,Coffee Beans,"Chetumal, Guatemala",Central America,25
Guatemala,BZ,5,Hockey Stick,"Tuxla Gutierrez, Belmopan,San Pedro Sula, Santa Ana",Central America,1000
Santa Ana,CR,1,Apple,"Guatemala, San Salvador",Central America,25
San Salvador,SV,1,Banana,"Santa Ana, Tegucigalpa",Central America,25
Tegucigalpa,HN,3,Casino Chip,"San Salvador, San Pedro Sula,Puerto Canezas, Managua,
Central America Factory",Central America,150
Managua,NI,1,Utility Knife,"Tegucigalpa, San Jose",Central America,25
San Pedro Sula,HN,1,Tea,"Guatemala, La Ceiba, Tegucigalpa",Central America,25
La Ceiba,HN,2,Sausage,San Pedro Sula,Central America,50
Puerto Canezas,NI,2,Tomato,"Tegucigalpa, Bluefields,Central America Factory",Central America,50
Bluefields,NI,1,Tomato,"Puerto Canezas, San Jose",Central America,25
San Jose,CR,5,Tomato,"Managua, Bluefields, Santiago",Central America,1000
Santiago,PA,1,Holy Water,"San Jose, Panama",Central America,25
Panama,PA,5,Pasta,Santiago,Central America,1000
Arkhangelsk,RU,3,Russian Perfume,"Petrotavodsk, Murmansk, Syktyvkar",Russia West,150
Cheboksary,RU,3,Honey,"Kazan, Nizhny Novgorod, Yoshkar-Ola",Russia West,150
Chelyabinsk,RU,4,Watch,"Ufa, Yekaterinburg, Russia South Depot",Russia West,350
Cherkessk,RU,2,Chunk of Amber,"Nalchik, Sochi",Russia West,50
Elista,RU,2,Chicken,"Atyrau, Makhachkala, Maykop, Volgograd",Russia West,50
Grozny,RU,3,Samovar,"Makhachkala, Nalchik",Russia West,150
Izhevsk,RU,3,Honey,"Kazan, Yekaterinburg",Russia West,150
Kazan,RU,4,Uranium,"Cheboksary, Izhevsk, Ufa, Yoshkar-Ola",Russia West,350
Makhachkala,RU,3,Lacquer Box,"Elista, Grozny",Russia West,150
Maykop,RU,2,Wood,"Elista, Rostov-on-Don, Sochi",Russia West,50
Moscow,RU,5,Wheat,"Oryol Oblast, Veliky Novgorod, Vladimir",Russia West,1000
Murmansk,RU,3,Valenki,"Petrotavodsk, Arkhangelsk",Russia West,150
Nalchik,RU,3,Candle,"Cherkessk, Grozny",Russia West,150
Nizhny Novgorod,RU,4,Micro Processor,"Cheboksary, Saransk, Vladimir",Russia West,350
Oryol Oblast,RU,3,Tea,"Moscow, Voronezh",Russia West,150
Penza,RU,3,Tomato,"Samara, Saransk, Voronezh",Russia West,150
Petrotavodsk,RU,3,Wheat,"Murmansk, Arkhangelsk, Saint Petersburg",Russia West,150
Rostov-on-Don,RU,4,Cooking Oil,"Maykop, Voronezh",Russia West,350
Saint Petersburg,RU,5,Cooking Oil,"Helsink (FI), Petrozavodsk, Yaroslavl, Veliky Novgorod",Russia West,1000
Samara,RU,4,Onion,"Kazan, Penza, Ufa, Uralsk",Russia West,350
Saransk,RU,3,Power Cable,"Nizhny Novgorod, Penza",Russia West,150
Saratov,RU,3,Shapka,"Samara, Volgograd",Russia West,150
Sochi,RU,3,Apple,"Cherkessk, Maykop",Russia West,150
Syktyvkar,RU,3,Russian Building Block,"Arkhangelsk, Nyagan, Yaroslavl, Yoshkar-Ola, Russia West Factory",Russia West,150
Ufa,RU,4,Diesel Fuel,"Chelyabinsk, Kazan, Samara",Russia West,350
Veliky Novgorod,RU,3,Matryoshka Doll,"Moscow, Saint Petersburg",Russia West,150
Vladimir,RU,3,Gzhel,"Moscow, Nizhny Novgorod, Yaroslavl",Russia West,150
Volgograd,RU,4,Steel,"Elista, Saratov",Russia West,350
Voronezh,RU,4,Carrot,"Oryol Oblast, Penza, Rostov-on-Don",Russia West,350
Yaroslavl,RU,3,Zhostovo Tray,"Saint Petersburg, Syktyvkar, Vladimir",Russia West,150
Yekaterinburg,RU,4,Iron,"Chelyabinsk, Izhevsk, Nyagan, Tyumen",Russia West,350
Yoshkar-Ola,RU,3,Copper,"Cheboksary, Kazan, Syktyvkar",Russia West,150
Abakan,RU,2,Valenki,"Irkustk, Novokuznetsk",Russia East,50
Barnaul,RU,3,Tulip,"Nizhnevartovsk, Novokuznetsk, Ust-Kamenogorsk",Russia East,150
Batagay,RU,1,Wheat,"Ust-Nera, Yakutsk, Russia East Factory",Russia East,25
Blagoveshchensk,RU,3,Paper,"Komsomolsk-on-Amur, Neryungri",Russia East,150
Egvekinot,RU,1,Cow,"Kamchatka Krai, Zyryanka",Russia East,25
Irkustk,RU,3,Oil,"Abakan, Krasnoyarsk Krai, Ulan-Ude",Russia East,150
Kamchatka Krai,RU,3,Coal,"Egvekinot, Magadan, Petropavlovsk-Kamchatsky",Russia East,150
Khatanga,RU,1,Uranium,"Krasnoyarsk Krai, Russia East Factory",Russia East,25
Komsomolsk-on-Amur,RU,3,Hockey Stick,"Blagoveshchensk, Sakhalin, Vladivostok",Russia East,150
Krasnoyarsk Krai,RU,4,Corn,"Irkutsk, Khatanga, Mirny, Nizhnevartovsk, Military Base",Russia East,350
Magadan,RU,1,Salmon,"Kamchatka Krai, Petropavlovsk-Kamchatsky, Ust-Nera, Yakutsk, Zyryanka",Russia East,25
Mirny,RU,1,Sausage,"Krasnoyarsk Krai, Yakutsk, Russia East Factory",Russia East,25
Neryungri,RU,1,Grape,"Blagoveshchensk, Ulan-Ude, Yakutsk",Russia East,25
Nizhnevartovsk,RU,3,Gasoline Tank,"Krasnoyarsk Krai, Novy Urengoy, Nyagan, Omsk",Russia East,150
Norilsk,RU,2,Copper Cable,Military Base,Russia East,50
Novokuznetsk,RU,3,Asparagus,"Abakan, Barnaul",Russia East,150
Novosibirsk,RU,4,Micro Processor,"Barnaul, Omsk",Russia East,350
Novy Urengoy,RU,2,Diesel Fuel,"Nizhnevartovsk, Russia West Factory",Russia East,50
Nyagan,RU,1,Wood,"Nizhnevartovsk, Syktyvkar, Tyumen, Yekaterinburg, Russia West Factory",Russia East,25
Omsk,RU,4,Sheep,"Nizhnevartovosk, Novosibirsk, Tyumen, Russia South Depot",Russia East,350
Petropavlovsk-Kamchatsky,RU,2,Orange,"Kamchatka Krai, Magadan",Russia East,50
Sakhalin,RU,3,Cauliflower,"Komsomolsk-on-Amur, Yuzhno-Sakhalinsk",Russia East,150
Tyumen,RU,5,Lemon,"Nyagan, Omsk,Yekaterinburg",Russia East,1000
Ulan-Ude,RU,3,Chlorine,"Irkusk, Neryungri",Russia East,150
Ust-Nera,RU,1,Aluminium,"Batagay, Magadan, Zyryanka",Russia East,25
Vladivostok,RU,3,Salmon,"Komsomolsk-on-Amur, Yuzhno-Sakhalinsk",Russia East,150
Yakutsk,RU,3,Wood,"Batagay, Magadan, Mirny, Neryungri",Russia East,150
Yuzhno-Sakhalinsk,RU,2,Chicken,"Sakhalin, Vladivostok",Russia East,50
Zyryanka,RU,1,Coal,"Egvekinot, Magadan, Ust-Nera, Russia East Factory",Russia East,25
Aktau,KZ,2,Russian Building Block,"Ashgabat, Atyrau, Nukus, Russia South Factory",Asia Center,50
Aktobe,KZ,3,Water,"Astana, Uralsk, Russia South Depot",Asia Center,150
Almaty,KZ,4,Oil,"Bishkek, Ust-Kamenogorsk",Asia Center,350
Ashgabat,TM,4,Cotton,"Aktau, Nukus, Samarkand",Asia Center,350
Astana,KZ,3,Watermelon,"Aktobe, Pavlodar, Zhezqazghan, Russia South Depot",Asia Center,150
Atyrau,KZ,2,Corn,"Aktau, Elista, Uralsk",Asia Center,50
Bishkek,KG,3,Diesel Fuel,"Almaty, Osh, Shymkent",Asia Center,150
Nukus,UZ,3,Coal,"Aktau, Ashgabat, Zhezqazghan, Russia South Factory",Asia Center,150
Osh,KG,3,Wheat,"Bishkek, Tashkent",Asia Center,150
Pavlodar,KZ,3,Coffee Beans,"Astana, Ust-Kamenogorsk",Asia Center,150
Samarkand,UZ,3,Strawberry,"Ashgabat, Nukus, Tashkent",Asia Center,150
Shymkent,KZ,3,Gasoline Tank,"Bishkek, Tashkent, Zhezqazghan",Asia Center,150
Tashkent,UZ,4,Pineapple,"Osh,Samarkand, Shymkent",Asia Center,350
Uralsk,KZ,4,Orange,"Aktobe, Atyrau, Samara",Asia Center,350
Ust-Kamenogorsk,KZ,3,Pumpkin,"Almaty, Barnaul, Pavlodar",Asia Center,150
Zhezqazghan,KZ,1,Wood,"Astana, Bishkek, Nukus",Asia Center,25
