City,State,Passengers,Upgrade Costs,Resource Demanded,Amount Demanded,Connects To,Region,
Helena,MT,10,"1,000/5,000/10,000",Oil,50,"Cheyenne, Boise, Calgary, Billings",USA Center,
Albuquerque,NM,30,"50,000/500,000/1,000,000",Iron,350,"El Paso, Santa Fe",USA West,
Santa Fe,NM,10,"1,000/5,000/10,000",Iron,50,"Albuquerque, Denver, Oklahoma City",USA West,
Denver,CO,15,"5,000/50,000/100,000",Chicken,150,"Santa Fe, Boise, Cheyenne",USA West,
Boise,ID,10,"1,000/5,000/10,000",Wheat,50,"Denver, Kennewick, Banff, Helena",USA West,
Kennewick,WA,5,"500/1,000/5,000",Cow,25,"Boise, Seattle",USA West,
Seattle,WA,50,"500,000/1,000,000/2,000,000",Parka,1000,"Kennewick, Olympia, Vancouver",USA West,
Olympia,WA,10,"1,000/5,000/10,000",Apple,50,"Seattle, Portland",USA West,
Portland,OR,15,"5,000/50,000/100,000",Poutine,150,"Olympia, Sacramento",USA West,
Sacramento,CA,15,"5,000/50,000/100,000",Orange,150,"Portland, San Francisco",USA West,
San Francisco,CA,50,"500,000/1,000,000/2,000,000",Micro Processor,1000,"Sacramento, Los Angeles",USA West,
Los Angeles,CA,50,"500,000/1,000,000/2,000,000",Pizza,1000,"San Francisco, Las Vegas",USA West,
Las Vegas,NV,50,"500,000/1,000,000/2,000,000",Water,1000,"Los Angeles, Phoenix",USA West,
Phoenix,AZ,30,"50,000/500,000/1,000,000",Lemon,350,"Las Vegas, Tuscon",USA West,
Tucson,AZ,10,"1,000/5,000/10,000",Micro Processor,50,"Phoenix, El Paso",USA West,
El Paso,TX,10,"1,000/5,000/10,000",Copper,50,"Tuscon, Albuquerque, Fort Stockton",USA West,
Banff,AB,50,"500,000/1,000,000/2,000,000",Oil,1000,"Boise, Vancouver, Calgary",Canada West,
Calgary,AB,30,"50,000/500,000/1,000,000",Firework,350,"Banff, Edmonton, Saskatoon, Helena",Canada West,
Edmonton,AB,30,"50,000/500,000/1,000,000",Steel,350,"Calgary, Fort McMurray",Canada West,
Fort McMurray,AB,10,"1,000/5,000/10,000",Water,50,"Edmonton, Wood Buffalo",Canada West,
Wood Buffalo,AB,15,"10,000/50,000/100,000",Pig,150,"Fort McMurray, Yellowknife",Canada West,
Yellowknife,NT,5,"500/1,000/5,000",Strawberry,25,"Wood Buffalo, Fort Simpson",Canada West,
Fort Simpson,NT,5,"500/1,000/5,000",Iron,25,"Yellowknife, Whitehorse",Canada West,
Whitehorse,YT,5,"500/1,000/5,000",Apple,25,"Fort Simpson, Iskut",Canada West,
Iskut,BC,5,"500/1,000/5,000",Orange,25,"Whitehorse, Hazelton",Canada West,
Hazelton,BC,10,"1,000/5,000/10,000",Corn,50,"Iskut, Kamloops",Canada West,
Kamloops,BC,10,"1,000/5,000/10,000",Poutine,50,"Hazelton, Vancouver",Canada West,
Vancouver,BC,30,"50,000/500,000/1,000,000",Micro Processor,350,"Kamloops, Banff, Seattle",Canada West,
Regina,SK,15,"5,000/50,000/100,000",Pig,150,"Pierre, Saskatoon, Winnipeg",Canada Center,
Saskatoon,SK,15,"5,000/50,000/100,000",Salmon,150,"Regina, Calgary, The Pas",Canada Center,
The Pas,MB,5,"500/1,000/5,000",Firework,25,"Saskatoon, Yorkton",Canada Center,
Yorkton,SK,5,"500/1,000/5,000",Apple,25,"The Pas, Winnipeg",Canada Center,
Winnipeg,MB,15,"5,000/50,000/100,000",Pizza,150,"Yorkton, Toronto, Saint Paul, Regina",Canada Center,
Charlottetown,PE,15,"5,000/50,000/100,000",Steel,150,"Edmundston, St. John's",Canada East,
St. John's,NL,30,"50,000/500,000/1,000,000",Copper,350,"Charlottetown, Halifax",Canada East,
Halifax,NS,15,"5,000/50,000/100,000",Oil,150,"St. John's, Augusta, Fredericton",Canada East,
Fredericton,NB,10,"1,000/5,000/10,000",Chicken,50,"Halifax, Sherbrooke",Canada East,
Sherbrooke,QC,10,"1,000/5,000/10,000",Lemon,50,"Fredericton, Augusta, Kingston",Canada East,
Kingston,ON,15,"5,000/50,000/100,000",BBQ Rib,150,"Sherbrooke, Albany, London",Canada East,
London,ON,15,"5,000/50,000/100,000",Pizza,150,"Kingston, Detroit, Toronto",Canada East,
Toronto,ON,50,"500,000/1,000,000/2,000,000",Micro Processor,1000,"London, Winnipeg, Ottawa",Canada East,
Ottawa,ON,30,"50,000/500,000/1,000,000",Parka,350,"Toronto, Montreal, Montpelier",Canada East,
Montreal,QC,50,"500,000/1,000,000/2,000,000",Firework,1000,"Ottawa, Edmundston",Canada East,
Edmundston,NB,5,"500/1,000/5,000",Wheat,25,"Montreal, Charlottetown",Canada East,
Galway,IE,5,"500/1,000/5,000",Strawberry,25,"Belfast, Dublin",Europe West,
Belfast,UK,10,"1,000/5,000/10,000",Carrot,50,"Galway, Edinburgh",Europe West,
Edinburgh,UK,15,"5,000/50,000/100,000",Sheep,150,"Belfast, London",Europe West,
London,UK,50,"500,000/1,000,000/2,000,000",Tea,1000,"Amsterdam, Edinburgh",Europe West,
Amsterdam,NL,30,"50,000/500,000/1,000,000",Tea,350,"Brussels, Berlin, London",Europe West,
Brussels,BE,15,"5,000/50,000/100,000",Chicken,150,"Luxembourgh City, Amsterdam",Europe West,
Luxembourg City,LU,10,"1,000/5,000/10,000",Pasta,50,"Vaduz, Brussels, Prague, Europe West Factory",Europe West,
Vaduz,LT,5,"500/1,000/5,000",Tea,25,"Zurich, Luxembourg City",Europe West,
Zurich,CH,15,"5,000/50,000/100,000",Hockey Stick,150,"Bern, Vaduz",Europe West,
Bern,CH,30,"50,000/500,000/1,000,000",Sheep,350,"Paris, Zurich",Europe West,
Paris,FR,50,"500,000/1,000,000/2,000,000",Tulip,1000,"Nantes, Bern, Europe West Factory",Europe West,
Nantes,FR,15,"5,000/50,000/100,000",Sausage,150,"Southampton, Paris, Bilbao",Europe West,
Southampton,UK,15,"5,000/50,000/100,000",Tea,50,"Cardiff, Nantes",Europe West,
Cardiff,UK,15,"5,000/50,000/100,000",Pasta,150,"Galway, Southampton",Europe West,
Dublin,IE,30,"50,000/500,000/1,000,000",Sausage,350,"Galway, Cardiff",Europe West,
Southampton,UK,15,"5,000/50,000/100,000",Tea,50,"Cardiff, Nantes",Europe South,
Cardiff,UK,15,"5,000/50,000/100,000",Pasta,150,"Galway, Southampton",Europe South,
Dublin,IE,30,"50,000/500,000/1,000,000",Sausage,350,"Galway, Cardiff",Europe South,
Lisbon,PT,10,"1,000/5,000/10,000",Sausage,50,"Porto, Madrid",Europe South,
Madrid,ES,30,"50,000/500,000/1,000,000",Casino Chip,350,"Lisbon, Barcelona",Europe South,
Barcelona,ES,50,"500,000/1,000,000/2,000,000",Candle,1000,"Madrid, Monaco",Europe South,
Monaco,FR,50,"500,000/1,000,000/2,000,000",Casino Chip,1000,"Barcelona, Rome",Europe South,
Rome,IT,5,"500/1,000/5,000",Holy Water,25,"Monaco, Naples, Europe South Factory",Europe South,
Naples,IT,10,"1,000/5,000/10,000",Pasta,50,"Rome, Valleta",Europe South,
Valleta,MT,15,"5,000/50,000/100,000",Bonbon,150,"Naples, Tirana",Europe South,
Tirana,AL,10,"1,000/5,000/10,000",Candle,50,"Valleta, Athens, , Europe South Factory",Europe South,
Athens,GR,30,"50,000/500,000/1,000,000",Meatball,350,"Tirana, Skopje",Europe South,
Skopje,MK,5,"500/1,000/5,000",Casino Chip,25,"Athens, Sarajevo, Sofia",Europe South,
Sarajevo,HB,10,"1,000/5,000/10,000",Tulip,50,"Skopje, Zagreb, Europe South Factory",Europe South,
Zagreb,HR,15,"5,000/50,000/100,000",Onion,150,"Sarajevo, Ljubljana",Europe South,
Ljubljana,SK,10,"1,000/5,000/10,000",Sheep,50,"Zagreb, Vienna, San Marino",Europe South,
San Marino,IT,15,"5,000/50,000/100,000",Water,150,"Ljubljana, Milan",Europe South,
Milan,IT,50,"500,000/1,000,000/2,000,000",Strawberry,1000,"San Marino, Vaduz, Andorra La Vella",Europe South,
Prague,CZ,30,"50,000/500,000/1,000,000",Onion,350,"Ostrava, Vienna, Luxembourgh City",Europe East,
Vienna,AT,15,"5,000/50,000/100,000",Bonbon,150,"Prague, Ljubljana",Europe East,
Timisoara,RO,10,"1,000/5,000/10,000",Meatball,50,"Sofia, Vienna, Europe West Factory",Europe East,
Sofia,BG,5,"500/1,000/5,000",Sheep,25,"Skopje, Bucharest, Timisoara",Europe East,
Bucharest,RO,10,"1,000/5,000/10,000",Water,50,"Sofia, Chisinau, Europe West Factory",Europe East,
Chisinau,MD,5,"500/1,000/5,000",Onion,25,"Bucharest, Cluj-Napoca",Europe East,
Cluj-Napoca,RO,10,"1,000/5,000/10,000",Holy Water,50,"Chisinau, Budapest, Europe West Factory",Europe East,
Budapest,HU,15,"5,000/50,000/100,000",Cow,150,"Cluj-Napoca, Bratislava",Europe East,
Bratislava,SK,10,"1,000/5,000/10,000",Onion,50,"Budapest, Ostrava",Europe East,
Ostrava,CZ,5,"500/1,000/5,000",Sausage,25,"Bratislava, Prague, Warsaw",Europe East,
Berlin,DE,50,"500,000/1,000,000/2,000,000",Parka,1000,"Copenhagen, Warsaw, Amsterdam",Europe North,
Warsaw,PL,15,"5,000/50,000/100,000",Tulip,150,"Berlin, Kiev, Ostrava",Europe North,
Kiev,UA,5,"500/1,000/5,000",Bonbon,25,"Chisinau, Minsk, Warsaw",Europe North,
Minsk,BY,5,"500/1,000/5,000",Utility Knife,25,"Kiev, Vilnius",Europe North,
Vilnius,LT,10,"1,000/5,000/10,000",Utility Knife,50,"Minsk, Riga",Europe North,
Riga,LV,5,"500/1,000/5,000",Honey,25,"Vilnius, Tallinn, Europe North Factory",Europe North,
Tallinn,EE,5,"500/1,000/5,000",Holy Water,25,"Helsinki, Riga",Europe North,
Helsinki,FI,10,"1,000/5,000/10,000",Candle,50,"Tallinn, Stockholm",Europe North,
Stockholm,SE,15,"5,000/50,000/100,000",Utility Knife,150,"Helsinki, Oslo, Europe North Factory",Europe North,
Oslo,NO,30,"50,000/500,000/1,000,000",Utility Knife,350,"Stockholm, Copenhagen",Europe North,
Copenhagen,DK,50,"500,000/1,000,000/2,000,000",Candle,1000,"Oslo, Berlin, Europe North Factory",Europe North,
